name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis
COSMOS_3647,spiral,3.104,1.43,-0.190513124,-1.111152704,0.964289153,3.725475567,1.063139943,-1.745755399,0,0,0,0.00341634,0.007105876,-0.005733283,0.003151938,0.359280831,-0.001158471,0.005128907,9.079104227,36.28892639,17.03990688,-0.318757314,-26.74873679,0.002567518,-0.000603015,0,0,0.000166936,0.000674663,3.808128193,12.56451264
COSMOS_3994,spiral,0.857,1.67,-0.973863297,-0.275994692,0.708967123,4.516423874,2.507718731,0.333833013,0,0,0,-0.002110418,-0.002641179,0.004071392,-0.019098775,0.463036252,0.000980487,-0.010869977,13.09881031,-41.66573809,-2.340418747,-17.23169304,-22.88429429,-0.000807513,-0.000775641,0,0,0.0004131,0.001052278,2.164826661,2.718592953
COSMOS_3991,early,0.639,1.86,-0.679502361,-0.852681013,1.368517344,2.130850141,1.128083567,0.753097514,0,0,0,0.001294011,-0.00048825,-0.00271639,-0.008202083,0.418414425,-0.000711189,-0.004345167,9.979358531,8.446525737,-17.53101863,6.509930967,-10.87081915,0.000599603,-0.001365558,0,0,0.000390665,0.001499333,3.728740388,12.60236399
COSMOS_4081,spiral,1.569,1.04,-1.431598129,-2.248931711,0.733431396,3.149890802,1.047598681,-2.044920863,0,0,0,0.039937385,-0.022962658,-0.044508138,0.034541316,0.340646754,-0.002285377,0.005789329,6.760901178,-49.91238378,-26.18479219,-21.20852329,28.99880791,-0.042781381,-0.010466813,0,1,0.000127433,0.000661727,5.017711824,23.27691449
COSMOS_4192,early,0.7347,2.1,-1.824770324,-1.179437401,2.579071948,0.123446714,1.141620554,0.267744277,0,0,0,0.016296965,-0.001950584,0.001353464,-0.009765798,0.47147142,0.008825215,-0.005858191,11.38880753,11.74461097,-5.670603486,31.4185631,-7.418414718,0.000963607,-0.000535341,0,0,0.00047767,0.001440449,2.714180588,5.477232374
COSMOS_4091,early,1.023,0.63,0.857034328,-0.483568895,1.096821204,2.509494198,1.123827319,1.125561397,0,0,0,-0.027105914,-0.014023199,-0.003867668,-0.015106266,0.399153258,-0.015486791,-0.014564733,8.206851321,-30.50000622,6.876996115,-7.979760157,25.77259565,-0.005151475,0.004744769,0,1,0.000132878,0.00060465,4.347437836,16.98182178
COSMOS_4149,spiral,3.005,1.3,0.722936928,-3.030326192,0.840470897,4.714893533,2.629944644,-0.328046107,0,0,0,0.001248545,0.004265856,-0.002721844,0.002446688,0.339722465,-0.000736649,0.003356272,15.01015027,308.1867923,-22.50225159,13.4545326,-40.39389405,-0.008094942,-0.003610198,0,0,0.000448796,0.001037884,1.891222765,1.608196181
COSMOS_4649,early,2.4,1.71,-0.311219555,-2.925728637,2.258566294,0.734864882,1.142285497,1.369956065,0,0,0,0.002628914,0.001136953,-0.002211233,-0.000188844,0.792249922,0.00020884,0.000474054,24.53913177,504.389053,290.4152137,-80.55506272,1304.680002,0.001677942,0.001384109,0,0,0.001521424,0.001427133,-0.116894346,-1.963202984
COSMOS_4301,spiral,1.31,0.84,0.509069778,-0.720167035,1.137285254,3.244466785,1.17190461,-0.642994583,0,0,0,-0.017371312,-0.00782522,0.001593,0.006714599,0.357584341,-0.007889156,-0.00055531,9.34072978,-73.75375742,-54.27825736,66.97558992,-148.743092,-0.008273128,-0.017754348,0,0,0.000219825,0.000758109,3.16807268,8.072536761
COSMOS_4323,spiral,1.23,0.57,-0.323026521,-2.950288362,1.107358546,1.836621598,3.422320714,-1.315853251,0,0,0,0.001450823,0.012502355,-0.002971557,0.019427264,0.390478643,-0.000760367,0.01596481,18.51894214,-504.3298287,943.6120884,-2037.829598,5684.079369,0.018643208,0.017256847,0,1,0.000533718,0.001312374,2.08461841,2.437690592
COSMOS_4433,spiral,0.21,1.95,-0.889090667,-1.113971396,1.163546222,1.981221646,2.308969563,-0.905396967,0,0,0,-0.001425571,-0.010110355,-0.004532083,-0.001519489,0.329595469,-0.002978827,-0.005814922,11.46804485,13.3632084,-97.40439361,51.89615132,19.87334046,-0.007450226,0.000666635,0,0,0.000433891,0.001385621,2.912537448,6.605337231
COSMOS_4556,spiral,0.734,1.27,-1.69347311,-2.403165994,0.458328747,6.828490971,1.613814443,0.014916466,0,0,0,0.007634345,-0.004526479,0.000222719,0.011993189,0.410876485,0.003928532,0.003733355,9.623339171,53.90160918,-23.81179983,-11.52864268,52.09132495,0.000625166,0.005276544,0,0,0.000224209,0.000769293,3.150164726,7.963813962
COSMOS_4682,early,0.18,1.07,-2.3089607,-1.884657164,0.929692576,2.057574909,1.046175999,0.95565112,0,0,0,-0.004760314,0.007967864,0.01577698,-0.020784722,0.412284486,0.005508333,-0.006408429,6.587025683,-74.26826587,-21.72481563,3.34198097,-3.36963988,-0.011358728,-0.002695796,0,1,0.000139249,0.000689962,4.787383393,21.10607388
COSMOS_4752,spiral,1.566,0.99,-1.466994732,-0.8709296,0.758671817,3.338639361,1.532489641,-1.818943479,0,0,0,0.014102456,0.012520259,-0.004470629,-0.003255075,0.415214096,0.004815914,0.004632592,7.651324199,10.10763455,13.06897253,-2.190955021,-0.309152276,0.00183807,0.002184321,0,1,0.000107865,0.000505183,4.485837876,18.20313877
COSMOS_4875,spiral,1.435,2.05,-1.340968184,-2.450630766,1.906129806,0.554304883,1.231638829,0.231132002,0,0,0,0.017154357,-0.007058452,0.004394064,-0.010166525,0.477379272,0.010774211,-0.008612488,9.324779016,-9.567380978,10.4504264,-12.91615899,88.26980291,-0.001069758,0.005726937,0,1,0.000218301,0.000849746,3.65199268,11.40774277
COSMOS_4862,spiral,0.74,1.52,-2.77455794,-1.114350054,0.727114145,3.09205208,1.938414263,-1.051331689,0,0,0,-0.00099973,0.0083281,0.010142053,0.009886871,0.30180106,0.004571161,0.009107486,7.106755914,15.66131728,-36.12281863,-13.03067185,28.71978758,-0.005803515,-0.01128302,0,1,0.000137931,0.000659835,4.59732138,19.25190614
COSMOS_5106,early,0.73,2.05,-2.920272124,-1.963355381,1.41465153,1.258082562,1.206181339,0.508014975,0,0,0,0.013257627,-0.000612371,0.01285739,-0.010570561,0.333376925,0.013057509,-0.005591466,8.555210566,10.40363589,-7.253800453,17.62700301,-53.8223414,0.001854473,-0.004832674,0,1,0.000154164,0.00063668,3.898696941,13.24925748
COSMOS_5040,early,1.2715,1.09,-1.648374352,-1.885425828,1.298679432,1.132526751,1.379522253,0.187563535,0,0,0,-0.012491217,0.009027214,0.001015604,0.0051349,0.386487713,-0.005737806,0.007081057,6.587286576,-22.67394989,26.63481545,-4.033189699,5.075015921,-0.008401208,0.00565553,0,0,0.00010298,0.000529263,4.953729524,22.58880252
COSMOS_5168,early,1.73,1.28,-1.627961463,-0.674821178,1.597470067,0.968403667,1.71605884,0.74733108,0,0,0,0.01426566,0.001366929,0.005303567,-0.009610265,0.941936225,0.009784614,-0.004121668,11.33380435,-73.76263856,-26.35750742,-60.582592,-134.4856524,-0.002765496,-0.002694398,0,0,0.000365328,0.001077647,2.625302011,4.942793898
COSMOS_5262,early,1.5091,2.15,-2.22662531,-1.33607423,1.751758173,0.73904919,1.054366166,-1.563922931,0,0,0,0.001157236,-0.000154161,0.001354888,0.000984449,0.488317154,0.001256062,0.000415144,8.400484657,-16.4730701,2.855408469,6.678256254,5.730282756,-0.000763572,0.000789889,0,0,0.000173305,0.000732627,4.009759717,14.16540585
COSMOS_5431,spiral,0.86,0.52,-2.610350669,-3.745269209,0.505308584,4.993631213,1.437968057,0.876527187,0,0,0,0.035046866,0.012361271,-0.007155256,0.047196499,0.37227841,0.013945805,0.029778885,8.096059312,44.90065434,12.22212831,25.79288769,121.7934588,-0.044520912,0.005312669,0,1,0.000144468,0.000624909,4.109332223,14.9564178
COSMOS_5514,spiral,2.137,2.09,-1.151192986,-2.214372668,0.579809326,6.167813028,1.383636106,-1.027465268,0,0,0,-0.020387393,0.002705701,-0.006434162,-0.012383707,0.491575189,-0.013410777,-0.004839003,10.10946863,4.584655435,2.448837159,13.46109914,7.085522143,0.000802161,0.000835016,0,1,0.000232295,0.000785284,3.095078684,7.618399831
